year,state,Pincode,type,count,amount
2021,andhra-pradesh,515001,TOTAL,4040160,8752025049.046715
2021,andhra-pradesh,516001,TOTAL,3370675,8720115499.341372
2021,andhra-pradesh,520010,TOTAL,3206301,6832329071.6628275
2021,andhra-pradesh,524002,TOTAL,14158439,30358274591.367683
2021,andhra-pradesh,530026,TOTAL,10216678,24428085477.49295
2021,andhra-pradesh,517501,TOTAL,7246667,13514835187.056923
2021,andhra-pradesh,517507,TOTAL,5790910,11415016234.059563
2021,andhra-pradesh,520002,TOTAL,5716025,15397268124.171196
2021,andhra-pradesh,530016,TOTAL,5252680,9484946022.822403
2021,andhra-pradesh,522001,TOTAL,4989759,13298088500.28115
2021,andhra-pradesh,515001,TOTAL,4892740,10235401678.208153
2021,andhra-pradesh,520010,TOTAL,4198904,8551737728.052567
2021,andhra-pradesh,516001,TOTAL,4058071,10324818012.146276
2022,andhra-pradesh,524002,TOTAL,16133298,35123754551.39544
2022,andhra-pradesh,530026,TOTAL,10293117,25355928765.674084
2022,andhra-pradesh,517501,TOTAL,8062447,14807178133.005922
2022,andhra-pradesh,517507,TOTAL,6660899,12913687866.526722
2022,andhra-pradesh,520002,TOTAL,6254668,16297042494.467913
2022,andhra-pradesh,522001,TOTAL,5691035,15226428277.57111
2022,andhra-pradesh,515001,TOTAL,5585462,11393585212.479506
2022,andhra-pradesh,530016,TOTAL,5554647,9991176892.061853
2022,andhra-pradesh,516001,TOTAL,4513789,11365056779.562836
2022,andhra-pradesh,520010,TOTAL,4492155,9108501441.854177
2022,andhra-pradesh,524002,TOTAL,18822839,40556750377.6809
2022,andhra-pradesh,530026,TOTAL,12256092,29600523030.089485
2022,andhra-pradesh,517501,TOTAL,9320394,17071503296.033054
2022,andhra-pradesh,517507,TOTAL,7667416,14863715364.820652
2022,andhra-pradesh,520002,TOTAL,7584902,19447767871.79056
2022,andhra-pradesh,530016,TOTAL,6470271,11522114399.303429
2022,andhra-pradesh,515001,TOTAL,6291639,12847256630.386038
